doi,pmcid,year,journal,license,short_name,pdf_url,title
10.1186/s13073-023-01164-9,PMC9985263,2023,Genome Medicine,CC BY,nsclc-neoadjuvant-ici,https://genomemedicine.biomedcentral.com/counter/pdf/10.1186/s13073-023-01164-9,Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing
10.1186/s13073-022-01050-w,PMC9052621,2022,Genome Medicine,CC BY,pan-cancer-stemness,https://genomemedicine.biomedcentral.com/track/pdf/10.1186/s13073-022-01050-w,Integrated analysis of single-cell and bulk RNA sequencing data reveals a pan-cancer stemness signature predicting immunotherapy response
10.3389/fimmu.2023.1137025,PMC10050519,2023,Frontiers in Immunology,CC BY,hcc-t-cell-exhaustion,https://www.frontiersin.org/articles/10.3389/fimmu.2023.1137025/pdf,T-cell exhaustion signatures characterize the immune landscape and predict HCC prognosis via integrating single-cell RNA-seq and bulk RNA-sequencing
10.1038/s43018-022-00470-2,PMC9767871,2022,Nature Cancer,CC BY,pdac-slc4a4-resistance,https://www.nature.com/articles/s43018-022-00470-2.pdf,Targeting the bicarbonate transporter SLC4A4 overcomes immunosuppression and immunotherapy resistance in pancreatic cancer
10.1038/s41467-023-36296-4,PMC9925748,2023,Nature Communications,CC BY,pdac-chemotherapy-tme,https://www.nature.com/articles/s41467-023-36296-4.pdf,Single-cell RNA sequencing reveals the effects of chemotherapy on human pancreatic adenocarcinoma and its tumor microenvironment
10.1038/s41590-022-01215-0,PMC9174057,2022,Nature Immunology,CC BY,gbm-immune-evolution,https://www.nature.com/articles/s41590-022-01215-0.pdf,Single-cell RNA sequencing reveals evolution of immune landscape during glioblastoma progression
10.1186/s12943-023-01876-x,PMC10571470,2023,Molecular Cancer,CC BY,pan-cancer-caf-crosstalk,https://molecular-cancer.biomedcentral.com/counter/pdf/10.1186/s12943-023-01876-x,Pan-cancer spatially resolved single-cell analysis reveals the crosstalk between cancer-associated fibroblasts and tumor microenvironment
10.7150/thno.60540,PMC8692898,2022,Theranostics,CC BY-NC,gastric-proinvasive-caf,https://www.thno.org/v12p0620.pdf,Single-cell RNA sequencing reveals a pro-invasive cancer-associated fibroblast subgroup associated with poor clinical outcomes in patients with gastric cancer
10.3389/fimmu.2021.756722,PMC8602907,2021,Frontiers in Immunology,CC BY,nsclc-tam-heterogeneity,https://www.frontiersin.org/articles/10.3389/fimmu.2021.756722/pdf,Single-Cell RNA Sequencing Reveals the Heterogeneity of Tumor-Associated Macrophage in Non-Small Cell Lung Cancer and Differences Between Sexes
10.1186/s13045-023-01494-6,PMC10463514,2023,Journal of Hematology & Oncology,CC BY,scrnaseq-cancer-review,https://jhoonline.biomedcentral.com/counter/pdf/10.1186/s13045-023-01494-6,Advances in single-cell RNA sequencing and its applications in cancer research
